Month,Production,t,M1,M2,M3
1,284.4,1,1,0,0
2,212.8,2,0,1,0
3,226.9,3,0,0,1
4,308.4,4,0,0,0
5,262,5,1,0,0
6,227.9,6,0,1,0
7,236.1,7,0,0,1
8,320.4,8,0,0,0
9,271.9,9,1,0,0
10,232.8,10,0,1,0
11,237,11,0,0,1
12,313.4,12,0,0,0
13,261.4,13,1,0,0
14,226.8,14,0,1,0
15,249.9,15,0,0,1
16,314.3,16,0,0,0
17,286.1,17,1,0,0
18,226.5,18,0,1,0
19,260.4,19,0,0,1
20,311.4,20,0,0,0
21,294.7,21,1,0,0
22,232.6,22,0,1,0
23,257.2,23,0,0,1
24,339.2,24,0,0,0
25,279.1,25,1,0,0
26,249.8,26,0,1,0
27,269.8,27,0,0,1
28,345.7,28,0,0,0
29,293.8,29,1,0,0
30,254.7,30,0,1,0
31,277.5,31,0,0,1
32,363.4,32,0,0,0
33,313.4,33,1,0,0
34,272.8,34,0,1,0
35,300.1,35,0,0,1
36,369.5,36,0,0,0
37,330.8,37,1,0,0
38,287.8,38,0,1,0
39,305.9,39,0,0,1
40,386.1,40,0,0,0
41,335.2,41,1,0,0
42,288,42,0,1,0
43,308.3,43,0,0,1
44,402.3,44,0,0,0
45,352.8,45,1,0,0
46,316.1,46,0,1,0
47,324.9,47,0,0,1
48,404.8,48,0,0,0
49,393,49,1,0,0
50,318.9,50,0,1,0
51,327,51,0,0,1
52,442.3,52,0,0,0
53,383.1,53,1,0,0
54,331.6,54,0,1,0
55,361.4,55,0,0,1
56,445.9,56,0,0,0
57,386.6,57,1,0,0
58,357.2,58,0,1,0
59,373.6,59,0,0,1
60,466.2,60,0,0,0
61,409.6,61,1,0,0
62,369.8,62,0,1,0
63,378.6,63,0,0,1
64,487,64,0,0,0
65,419.2,65,1,0,0
66,376.7,66,0,1,0
67,392.8,67,0,0,1
68,506.1,68,0,0,0
69,458.4,69,1,0,0
70,387.4,70,0,1,0
71,426.9,71,0,0,1
72,565,72,0,0,0
73,464.8,73,1,0,0
74,444.5,74,0,1,0
75,449.5,75,0,0,1
76,556.1,76,0,0,0
77,499.6,77,1,0,0
78,451.9,78,0,1,0
79,434.9,79,0,0,1
80,553.8,80,0,0,0
81,510,81,1,0,0
82,432.9,82,0,1,0
83,453.2,83,0,0,1
84,547.6,84,0,0,0
85,485.8,85,1,0,0
86,452.6,86,0,1,0
87,456.6,87,0,0,1
88,565.7,88,0,0,0
89,514.8,89,1,0,0
90,464.3,90,0,1,0
91,430.9,91,0,0,1
92,588.3,92,0,0,0
93,503.1,93,1,0,0
94,442.6,94,0,1,0
95,448,95,0,0,1
96,554.5,96,0,0,0
97,504.5,97,1,0,0
98,427.3,98,0,1,0
99,473.1,99,0,0,1
100,526.2,100,0,0,0
101,547.5,101,1,0,0
102,440.2,102,0,1,0
103,468.7,103,0,0,1
104,574.5,104,0,0,0
105,492.6,105,1,0,0
106,432.6,106,0,1,0
107,479.8,107,0,0,1
108,575.7,108,0,0,0
109,474.6,109,1,0,0
110,405.3,110,0,1,0
111,434.6,111,0,0,1
112,535.1,112,0,0,0
113,452.6,113,1,0,0
114,429.5,114,0,1,0
115,417.2,115,0,0,1
116,551.8,116,0,0,0
117,464,117,1,0,0
118,416.6,118,0,1,0
119,422.9,119,0,0,1
120,553.6,120,0,0,0
121,458.6,121,1,0,0
122,427.6,122,0,1,0
123,429.2,123,0,0,1
124,534.2,124,0,0,0
125,481.7,125,1,0,0
126,416,126,0,1,0
127,440.2,127,0,0,1
128,538.7,128,0,0,0
129,473.8,129,1,0,0
130,439.9,130,0,1,0
131,446.8,131,0,0,1
132,597.5,132,0,0,0
133,467.2,133,1,0,0
134,439.4,134,0,1,0
135,447.4,135,0,0,1
136,568.5,136,0,0,0
137,485.9,137,1,0,0
138,442.1,138,0,1,0
139,430.5,139,0,0,1
140,600,140,0,0,0
141,464.5,141,1,0,0
142,423.6,142,0,1,0
143,437,143,0,0,1
144,574,144,0,0,0
145,443,145,1,0,0
146,410,146,0,1,0
147,420,147,0,0,1
148,532,148,0,0,0
149,432,149,1,0,0
150,420,150,0,1,0
151,411,151,0,0,1
152,512,152,0,0,0
153,449,153,1,0,0
154,382,154,0,1,0
155,,155,0,0,1
